id,comp1,comp2,G0,S0,V0,c1,c2,c3,c4,c5,c6,c7,m0,m1
ab,Na_1Al_1Si_3O_8,NA2O(.5)AL2O3(.5)SIO2(3),-3718799.0,-13,-10.0452,597616.2,4,713.7824,0.56704,1,1.04208,0.0,360000,1.3855
alm,Fe_3Al_1Al_1Si_3O_12,AL2O3(1)SIO2(3)FEO(3),-4935516.0,-20,-11.543,1738963.0,4.91341,741.356,1.06495,1.42169,2.09292,40.14,960000,1.40927
aperov,Al_1Al_1O_3,AL2O3(1),-1533878.0,-5,-2.4944,2582000.0,4.14,886.4601,1.56508,1.10945,2.47126,0.0,1713116.0,1.49706
an,Ca_1Al_2Si_2O_8,AL2O3(1)SIO2(2)CAO(1),-4014619.0,-13,-10.061,840891.5,4,752.3911,0.39241,1,1.6254,0.0,399000,1.09134
seif,Si_1O_2PbO2structureANDCaCl2structure,SIO2(1),-794335.4,-3,-1.367,3275843.0,4.01553,1140.772,1.37466,2.83517,4.97108,0.0,2274532.0,1.76965
appv,Al_1Al_1O_3,AL2O3(1),-1377582.0,-5,-2.3847,2490000.0,4,762.1951,1.64573,1.09081,2.83762,0.0,919653.1,1.81603
ca-pv,Ca_1Si_1O_3,SIO2(1)CAO(1),-1463358.0,-5,-2.745,2360000,3.9,795.779,1.88839,0.89769,1.28818,0.0,1568315.0,2.22713
cts,Ca_1Al_1(Si_1Al_1)O_6,AL2O3(1)SIO2(1)CAO(1),-3120253.0,-10,-6.3574,1122413.0,5.23885,803.6626,0.78126,1.52852,1.9672,11.525,751606.6,1.54016
cen,Mg_1Mg_1Si_2O_6,MGO(2)SIO2(2),-2905918,-10,-6.25,1122413.0,5.23885,805.0547,0.95873,1.52852,1.69074,0.0,794968.6,1.62901
cfs,Fe_2Fe_2Si_4O_12,SIO2(4)FEO(4),-4448021.0,-20,-13.28,1122413.0,5.23886,697.7495,0.95873,1.52852,1.36078,53.52,589860.5,1.20872
cor,Al_1Al_1O_3,AL2O3(1),-1582454,-5,-2.5577,2525457.0,4.33728,932.5696,1.32442,1.30316,2.8316,0.0,1632000.0,1.64174
coe,Si_1O_2,SIO2(1),-855068.5,-3,-2.0657,1135856.0,4,852.4267,0.39157,1,2.39793,0.0,616000.1,1.24734
di,Ca_1Mg_1Si_2O_6,MGO(1)SIO2(2)CAO(1),-3029531.0,-10,-6.6039,1122413.0,5.23885,781.6146,0.95873,1.52852,1.57351,0.0,670000,1.37293
en,Mg_1Mg_1Si_2O_6,MGO(2)SIO2(2),-2913596,-10,-6.2676,1070768.0,7.02751,812.1848,0.78479,3.43846,2.50453,0.0,768000,1.54596
fc2/c,Fe_2Si_2O_6,SIO2(2)FEO(2),-2222183,-10,-6.385413,1160254.0,6.23685,691.564,1.12473,0.20401,0.79216,26.76,706230.9,1.84119
fa,Fe_2Si_1O_4,SIO2(1)FEO(2),-1370519.0,-7,-4.629,1349622.0,4.21796,618.7007,1.06023,3.6466,1.02497,26.76,508999.9,1.46257
ffer,Fe_1Al_1Al_1O_4,AL2O3(1)FEO(1),-1790284,-7,-3.7258,2106663.0,4.0528,804.1986,1.31156,1,3.0268,13.38,1535236.0,1.75878
faki,Fe_1Si_1O_3,SIO2(1)FEO(1),-1067598.0,-5,-2.6854,2107060.0,5.62088,887.8709,1.18984,2.34514,3.5716,13.38,1523046.0,1.57889
fperov,Fe_1Si_1O_3,SIO2(1)FEO(1),-1040920.0,-5,-2.5485,2721152.0,4.14,870.8122,1.56508,1.10945,2.29211,13.38,1326849.0,1.37485
fring,Fe_2Si_1O_4,SIO2(1)FEO(2),-1362772.0,-7,-4.186,2134120.0,4.22035,677.7177,1.27193,2.3914,1.77249,26.76,920000,1.35412
fwad,Fe_2Si_1O_4,SIO2(1)FEO(2),-1364668.0,-7,-4.28,1685910.0,4.3229,665.4492,1.2061,2.0188,1.04017,26.76,720000,1.44424
fo,Mg_2Si_1O_4,MGO(2)SIO2(1),-2055403,-7,-4.3603,1279555.0,4.21796,809.1703,0.99282,2.10672,2.29972,0.0,815999.9,1.46257
fppv,Fe_1Si_1O_3,SIO2(1)FEO(1),-981806.9,-5,-2.5459,2312000.0,4,781.3465,1.89155,1.09081,1.36382,13.38,1295000,1.44675
